STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141101,0,-9999,-9999,78,-21
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141102,0,-9999,-9999,106,-60
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141103,0,-9999,-9999,183,61
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141104,102,-9999,-9999,128,72
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141105,0,-9999,-9999,128,33
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141106,8,-9999,-9999,83,44
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141107,0,-9999,-9999,83,-16
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141108,0,-9999,-9999,89,17
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141109,0,-9999,-9999,117,-21
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141110,0,-9999,-9999,172,22
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141111,15,-9999,-9999,150,11
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141112,0,-9999,-9999,11,-27
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141113,0,-9999,-9999,-27,-43
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141114,0,-9999,-9999,-5,-77
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141115,0,-9999,-9999,17,-88
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141116,0,-9999,-9999,22,-21
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141117,0,-9999,-9999,-10,-99
GHCND:USW00003868,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20141118,0,-9999,-9999,-55,-127
